period,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather,appCat.utilities,id
19,8.0,-0.7999999999999999,0.725,0.07348847841438623,62238.92600250245,12.0,0.0,7365.553,31564.510000000002,10678.154,195.637,1.059,23.195,888.781,7551.929,39.265,0.0,0.0,1558.2289999999998,AS14.01
20,7.2,-0.9333333333333332,0.7916666666666666,0.07491518778247551,65123.241999864586,12.0,1.0,7434.445,28573.241,13477.231,265.829,1.059,23.195,824.363,7818.793,68.369,0.0,0.0,2508.1,AS14.01
21,6.4,-0.7999999999999999,0.7916666666666666,0.06986986082387493,65150.17599725724,16.0,2.0,7392.184,28620.396,13480.983,278.872,1.059,23.195,588.124,9420.653,76.732,0.0,0.0,2210.534,AS14.01
22,7.2,-0.6333333333333333,0.6916666666666668,0.07606106597924679,68376.55199694633,9.0,3.0,7600.442,28914.001,12048.823999999999,278.872,0.0,0.0,520.989,10158.788,76.732,0.0,0.0,2056.434,AS14.01
23,8.25,-0.5166666666666667,0.6833333333333332,0.07221634174575285,72868.18599748613,11.0,3.0,4783.612,37430.748,10214.927,184.779,0.0,0.0,523.3000000000001,11669.127,42.498,0.0,0.0,1891.5040000000001,AS14.01
24,6.8,-0.525,0.6916666666666668,0.07584699928319583,74608.10599613191,12.0,3.0,6342.064,36177.322,8802.798999999999,303.942,0.0,0.0,492.05600000000004,13398.617,101.34100000000001,0.0,0.0,1627.792,AS14.01
25,7.8,-0.35000000000000003,0.6916666666666668,0.09008209641144076,85895.60299754144,13.0,3.0,6840.839,37808.787,9022.681,317.158,29.084,0.0,429.329,13760.787,230.231,0.0,0.0,1933.588,AS14.01
26,7.25,-0.19166666666666668,0.7166666666666667,0.08857025117364604,76253.67299866678,14.0,4.0,6776.344,36307.227,3484.617,238.441,29.084,0.0,318.435,13076.544000000002,201.12699999999998,0.0,0.0,1068.609,AS14.01
27,7.6,-0.225,0.75,0.09055840220489969,66501.44099950792,8.0,3.0,8622.22,32087.343,2614.975,258.664,29.084,0.0,266.069,9077.306,261.042,0.0,0.0,999.698,AS14.01
28,7.4,-0.2916666666666667,0.8833333333333333,0.08652827148742799,69469.23599982262,10.0,2.0,9911.561,38273.240000000005,3289.258,297.117,29.084,0.0,288.445,8587.002,261.042,0.0,0.0,1199.326,AS14.01
29,7.6,-0.17500000000000002,0.9249999999999999,0.08470624356437279,68986.09599852562,9.0,2.0,10490.202,35348.373,3494.444,315.168,29.084,0.0,277.08,7006.454,261.042,0.0,0.0,1396.552,AS14.01
30,7.6,-0.10833333333333334,0.9583333333333334,0.07751790714754916,77581.84499907495,9.0,2.0,10095.574999999999,39698.849,7185.0650000000005,405.942,29.084,0.0,261.224,7701.068,248.35199999999998,0.0,0.0,2024.069,AS14.01
31,7.2,-0.10833333333333334,0.9249999999999999,0.07912276579971371,78262.538998127,10.0,3.0,9966.998,44249.733,7366.6230000000005,331.384,0.0,0.0,298.589,9532.09,182.77800000000002,0.0,0.0,2066.247,AS14.01
32,7.6,-0.10000000000000002,0.9666666666666667,0.10236152056323354,85401.03999710083,11.0,5.0,9934.431,41832.866,6764.687000000001,348.045,0.0,0.0,310.592,9662.725,653.551,3.148,0.0,2260.975,AS14.01
33,7.5,-0.06666666666666667,1.0083333333333333,0.09043449803501961,87268.61099791528,9.0,5.0,7783.513000000001,42260.017,8200.028,314.77900000000005,0.0,0.0,1309.2269999999999,9261.223,585.273,3.148,0.0,2110.431,AS14.01
34,7.6,-0.23333333333333336,0.975,0.07839212648770409,82586.1709983349,9.0,5.0,6882.56,35596.476,8647.449,741.579,0.0,0.0,1318.651,10262.608,585.273,3.148,0.0,2067.409,AS14.01
35,7.0,-0.3,0.9083333333333333,0.08785421972032725,75924.1229979992,8.0,5.0,11041.631,30502.649,9862.555,723.528,333.305,0.0,1316.7250000000001,10147.494999999999,627.255,3.148,0.0,2230.901,AS14.01
36,7.8,-0.3,0.8416666666666667,0.10454563152811273,63013.24999690056,8.0,5.0,10420.323,24361.134000000002,5902.442,888.613,333.305,0.0,1470.5749999999998,7548.125,848.869,3.148,0.0,1626.999,AS14.01
37,8.0,-0.3333333333333333,0.875,0.09254633227991767,64556.25999569893,13.0,8.0,11478.823,25273.4,5722.476,2188.6459999999997,333.305,28.098,1446.158,10239.373,785.553,3.148,0.0,1548.594,AS14.01
38,7.6,-0.3333333333333333,0.8416666666666667,0.06972837355867445,64162.75999712944,10.0,4.0,11409.74,30631.461,5949.808,3231.1270000000004,333.305,28.098,1432.396,8642.262,314.78,0.0,0.0,1243.914,AS14.01
39,8.0,-0.3666666666666667,0.7999999999999999,0.07660536707470918,66648.23399782181,10.0,5.0,10871.682999999999,32739.739,7201.537,3527.44,333.305,28.098,416.281,8820.394,458.41099999999994,30.102,0.0,1309.181,AS14.01
40,8.0,-0.3166666666666667,0.8333333333333334,0.09602478138114907,61729.59899759292,8.0,5.0,11318.119999999999,31424.056,6581.504999999999,3062.187,333.305,28.098,379.222,6891.138,458.41099999999994,30.102,0.0,928.988,AS14.01
41,7.709987192352244,-0.3362924312524818,0.8823626054158386,0.08020550586824957,55645.04099845886,8.0,5.0,6466.554,28416.198,5337.486,3062.187,0.0,28.098,338.75,6504.7570000000005,416.429,30.102,0.0,782.883,AS14.01
1,7.5,0.041666666666666664,0.5333333333333333,0.24636748823337218,43273.80900287628,48.0,5.0,11833.752,19212.832,3492.4359999999997,0.0,0.0,0.0,830.864,1064.417,1009.461,0.0,0.0,0.0,AS14.02
2,6.5,-0.125,0.45,0.27964685466662703,45960.74400615692,69.0,5.0,11326.972,17913.259000000002,4066.955,0.0,0.0,0.0,465.962,1291.493,1790.078,0.0,0.0,0.0,AS14.02
3,6.25,-0.375,0.3666666666666667,0.29658497834716147,40329.502005577095,73.0,6.0,10992.131000000001,15235.042,1943.875,0.0,0.0,0.0,424.12800000000004,1360.459,3053.267,0.0,0.0,0.0,AS14.02
4,6.4,-0.44166666666666665,0.19999999999999998,0.2860250247215052,38583.68000364304,63.0,5.0,9461.106,14314.142,2386.9449999999997,0.0,0.0,0.0,417.214,1380.896,3053.267,0.0,0.0,0.0,AS14.02
5,7.75,-0.7166666666666667,0.25833333333333336,0.27183867438914033,35038.31100344658,65.0,4.0,10713.479,14505.904,2650.395,0.0,0.0,0.0,362.053,1481.528,2486.102,0.0,0.0,0.0,AS14.02
6,7.2,-0.8333333333333334,0.20000000000000004,0.2809934247550561,36747.60700297356,60.0,3.0,10672.246,14885.382000000001,3269.3599999999997,0.0,0.0,0.0,317.146,2911.953,2486.102,0.0,0.0,0.0,AS14.02
7,7.25,-0.7083333333333334,0.15833333333333335,0.2708636054253967,31338.737002611168,53.0,2.0,10709.067,15023.979000000001,3300.537,0.0,0.0,0.0,1011.0550000000001,2605.2980000000002,2043.806,0.0,0.0,67.163,AS14.02
8,6.8,-0.6416666666666667,0.3416666666666666,0.24012271229960305,27718.75599884987,36.0,3.0,9831.916,14416.85,3345.266,0.0,0.0,0.0,1093.5200000000002,4913.846,1263.189,0.0,0.0,67.163,AS14.02
9,7.25,-0.6,0.3833333333333333,0.26725141197074687,27593.47199583054,32.0,2.0,26353.690000000002,14718.44,4020.436,0.0,0.0,0.0,1084.496,5265.706,501.644,0.0,0.0,67.163,AS14.02
10,7.0,-0.7999999999999999,0.5416666666666666,0.2815451863528248,28763.864995241165,37.0,3.0,26052.981000000003,12817.115,4767.017,0.0,0.0,0.0,1115.9160000000002,5355.8060000000005,501.644,0.0,0.0,67.163,AS14.02
11,7.2,-0.725,0.48333333333333334,0.2691883978207953,28900.622994422913,44.0,5.0,24432.349000000002,12509.686000000002,4662.393,0.0,0.0,0.0,1147.2820000000002,7245.990000000001,501.644,0.0,0.0,67.163,AS14.02
12,7.4,-0.5583333333333333,0.5499999999999999,0.263856242784664,26128.730990648273,41.0,6.0,25485.619000000006,11298.447,3972.224,0.0,0.0,0.0,1291.7450000000001,5875.088000000001,846.844,0.0,0.0,67.163,AS14.02
13,6.4,-0.6583333333333333,0.43333333333333335,0.2789015015975778,27265.577993631363,40.0,6.0,25182.705000000005,11243.827,4502.897,0.0,0.0,0.0,688.636,6111.6230000000005,846.844,0.0,0.0,0.0,AS14.02
14,5.75,-0.6,0.3333333333333333,0.2890527535695526,30110.296995401382,34.0,4.0,25398.889000000003,13594.131,4344.044,0.0,0.0,0.0,619.099,3516.8290000000006,1165.138,0.0,0.0,0.0,AS14.02
15,6.4,-0.6749999999999999,0.325,0.2548529204943135,29360.423998594284,35.0,4.0,9104.298,14262.078,4090.504,0.0,0.0,0.0,715.11,3134.2950000000005,663.494,0.0,0.0,0.0,AS14.02
16,7.4,-0.5083333333333333,0.3,0.2681916561087398,38491.30800127983,34.0,4.0,10288.598,15460.881,3606.3940000000002,0.0,0.0,0.0,702.779,3070.005,1051.565,0.0,0.0,0.0,AS14.02
17,4.5,-0.5416666666666666,0.024999999999999984,0.27799775552483574,37367.13000059127,26.0,2.0,9678.684000000001,14203.881,3870.409,0.0,0.0,0.0,651.049,1422.916,1051.565,0.0,0.0,0.0,AS14.02
18,6.8,-0.5083333333333333,-0.00833333333333334,0.25709162255934326,40435.9190018177,26.0,1.0,8371.618,16642.45,4531.349,0.0,0.0,0.0,570.784,3239.979,706.365,0.0,0.0,0.0,AS14.02
19,6.25,-0.45,0.10833333333333334,0.24756336852966498,37631.24299955368,34.0,2.0,7592.186,15965.882,3703.375,0.0,0.0,0.0,576.474,3558.331,706.365,0.0,0.0,0.0,AS14.02
20,7.25,-0.4916666666666667,0.15,0.23501403655214861,36574.36899924278,44.0,3.0,7749.909,14625.996000000001,3781.824,0.0,0.0,0.0,581.739,3730.2309999999998,388.071,0.0,0.0,0.0,AS14.02
21,7.25,-0.25,0.24166666666666667,0.2405940777578707,40765.237997055054,40.0,4.0,7931.6720000000005,14542.797,3667.42,0.0,0.0,0.0,574.101,4155.718,913.184,0.0,0.0,2.045,AS14.02
22,6.5,-0.3333333333333333,0.225,0.25768769522918933,33507.34199666977,38.0,4.0,7522.777,14576.931,3573.66,0.0,0.0,0.0,609.332,4216.752,1156.042,0.0,0.0,2.045,AS14.02
23,6.0,-0.5,0.26666666666666666,0.2848697307543877,33516.192999362946,38.0,5.0,8773.06,14869.376,2954.68,0.0,0.0,0.0,590.337,3982.402,1518.2269999999999,0.0,0.0,9.030999999999999,AS14.02
24,7.2,-0.6,0.2333333333333333,0.3104191280688378,29324.53699874878,37.0,5.0,7801.025,11963.416000000001,2588.284,0.0,0.0,0.0,563.3009999999999,2097.289,1677.8729999999998,0.0,0.0,9.030999999999999,AS14.02
25,8.0,-0.43333333333333335,0.31666666666666665,0.2979396301605985,28018.428000211716,35.0,11.0,7426.219,11520.038,2490.576,0.0,0.0,0.0,450.049,1517.853,1677.8729999999998,0.0,0.0,93.519,AS14.02
26,7.25,-0.43333333333333335,0.35833333333333334,0.2856761360162313,22962.289000034336,37.0,11.0,6097.463,9710.41,1882.998,0.0,0.0,0.0,388.652,1248.918,1677.8729999999998,0.0,0.0,93.519,AS14.02
27,6.666666666666667,-0.5305555555555556,0.2888888888888889,0.30109709425507475,15227.334001064302,52.0,11.0,4919.144,6984.173,1187.674,0.0,0.0,0.0,247.438,682.111,1152.76,0.0,0.0,91.474,AS14.02
28,8.666666666666666,-0.39166666666666666,0.20555555555555557,0.308697768051247,9458.538999557497,55.0,17.0,3372.959,4677.981,486.95,0.0,0.0,0.0,111.31,362.466,521.831,0.0,0.0,91.474,AS14.02
29,6.5,-0.05833333333333333,0.37222222222222223,0.2975041558305685,5799.719998359681,52.0,16.0,1546.291,3161.214,486.95,0.0,0.0,0.0,100.294,205.274,159.646,0.0,0.0,84.488,AS14.02
30,5.666666666666667,-0.06944444444444443,0.25,0.3325341361167685,3812.1710007190713,52.0,16.0,1045.468,2378.3360000000002,115.43,0.0,0.0,0.0,21.182,82.203,0.0,0.0,0.0,84.488,AS14.02
31,5.0,-0.3055555555555555,0.08333333333333333,0.35994358318750885,1039.1279997825625,53.0,12.0,235.496,555.8589999999999,19.658,0.0,0.0,0.0,0.0,25.386000000000003,0.0,0.0,0.0,0.0,AS14.02
32,11.0,-0.38888888888888884,-0.16666666666666666,0.38959389142382256,337.84099936485313,47.0,11.0,137.23,109.94200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS14.02
33,5.666666666666667,-0.5555555555555555,-0.27777777777777773,0.343214499211097,241.63699984550502,46.0,12.0,12.097,109.94200000000001,0.0,0.0,0.0,0.0,0.0,106.887,0.0,0.0,0.0,0.0,AS14.02
34,5.5,-0.611111111111111,-0.19444444444444442,0.2886764446730424,200.4020001888278,43.0,6.0,10.09,72.34100000000001,0.0,0.0,0.0,0.0,0.0,106.887,0.0,0.0,0.0,0.0,AS14.02
35,7.0,-0.6944444444444443,-0.27777777777777773,0.242566894445162,200.4020001888278,40.0,6.0,10.09,72.34100000000001,0.0,0.0,0.0,0.0,0.0,106.887,0.0,0.0,0.0,0.0,AS14.02
36,9.0,-0.75,-0.055555555555555546,0.19113239659358874,13.08000016212468,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.887,0.0,0.0,0.0,0.0,AS14.02
1,8.25,0.18333333333333335,1.3,0.12125934322493218,23381.96300053597,24.0,5.0,2398.099,8568.579,14218.264,676.265,0.0,459.129,1941.6599999999999,0.0,456.78999999999996,66.03699999999999,44.854,38.32900000000001,AS14.03
2,7.75,0.05833333333333333,1.05,0.11824874497056527,24992.64100122452,22.0,4.0,2818.38,7775.5019999999995,14926.003999999999,676.265,0.0,462.52,1458.104,0.0,456.78999999999996,66.03699999999999,44.854,55.819,AS14.03
3,8.0,-0.15833333333333333,1.1333333333333333,0.10379724152622867,25599.54599905014,17.0,3.0,2613.818,8257.886,14362.271,676.265,0.0,508.726,1615.264,0.0,288.245,129.824,44.854,58.514,AS14.03
4,8.6,-0.15833333333333333,1.2,0.11431901475363515,22812.599998950962,16.0,3.0,2140.552,6907.692,15150.108,689.272,0.0,346.728,1468.1599999999999,0.0,12.84,129.824,0.0,58.514,AS14.03
5,8.4,-0.09166666666666667,1.1333333333333333,0.12663743022782045,20133.272998809818,14.0,3.0,2061.1749999999997,5848.979,13281.879,584.0550000000001,0.0,247.687,803.197,0.0,12.84,154.02700000000002,31.955,53.37800000000001,AS14.03
6,7.4,0.041666666666666664,1.0333333333333334,0.11844831340648991,25740.404998540882,11.0,3.0,3061.6760000000004,8956.566,13629.931,214.00300000000001,0.0,106.611,768.3530000000001,0.0,12.84,106.703,31.955,29.695,AS14.03
7,7.6,0.025000000000000005,0.9333333333333332,0.11949183657415773,24960.2219991684,12.0,3.0,3486.7000000000003,8373.575,12900.612000000001,185.50300000000001,0.0,148.417,898.907,0.0,0.0,99.054,31.955,29.695,AS14.03
8,7.4,0.016666666666666673,0.9500000000000001,0.115407234005522,25048.82999825478,11.0,2.0,3752.562,8262.471000000001,13228.359,250.942,0.0,153.679,937.717,0.0,54.145,99.054,31.955,12.205,AS14.03
9,7.8,0.10000000000000002,0.8666666666666667,0.11190009507567487,24111.133999824528,9.0,2.0,23061.802,8006.776,11969.728,323.045,0.0,107.473,782.578,0.0,54.145,55.459,31.955,34.357,AS14.03
10,7.8,0.16666666666666666,0.8333333333333334,0.09918829885194302,25081.18699812889,9.0,4.0,23659.585,8657.939,10812.065,320.95799999999997,0.0,113.636,1580.8229999999999,0.0,54.145,370.968,31.955,34.357,AS14.03
11,7.6,0.39999999999999997,0.8333333333333334,0.09081783591243593,25365.12999773025,14.0,4.0,23909.774999999998,8544.720000000001,11068.064999999999,320.95799999999997,0.0,193.83800000000002,1455.6309999999999,0.0,73.84100000000001,335.701,0.0,34.357,AS14.03
12,6.8,0.3666666666666667,0.8666666666666667,0.08967424106072401,21995.4349963665,11.0,3.0,21875.842,4862.378,13602.796999999999,243.46699999999998,0.0,193.83800000000002,2381.438,0.0,73.84100000000001,358.795,0.0,29.197000000000003,AS14.03
13,7.4,0.3333333333333333,0.9666666666666667,0.09744917383451045,23825.28599667549,11.0,3.0,21928.19,5938.025,14490.055,273.023,0.0,256.029,2250.286,0.0,73.84100000000001,441.559,0.0,29.197000000000003,AS14.03
14,7.4,0.3666666666666667,1.0666666666666667,0.10163963228091845,24936.937995910648,11.0,4.0,21947.522,5800.831,13816.188,234.673,0.0,1732.194,2222.357,0.0,19.696,452.687,0.0,29.197000000000003,AS14.03
15,7.8,0.4666666666666666,1.0666666666666667,0.10305392876512481,24397.9139957428,10.0,4.0,2384.599,5879.512,12707.387999999999,194.305,0.0,1748.464,2205.54,0.0,19.696,482.749,0.0,0.0,AS14.03
16,7.4,0.5,1.0,0.1065472352149473,28184.730998277664,10.0,3.0,1871.195,6854.4,14112.151,147.02100000000002,0.0,1747.518,1397.9620000000002,13.22,19.696,2407.1769999999997,0.0,0.0,AS14.03
17,7.6,0.3333333333333333,1.0,0.1075072594886355,29315.989998579033,4.0,3.0,1710.2949999999998,7442.894,14944.826,164.17000000000002,0.0,1650.192,1691.192,13.22,0.0,2435.5199999999995,0.0,4.513,AS14.03
18,7.666666666666667,0.35555555555555557,1.0333333333333334,0.11588481395297674,25780.25899934769,10.0,3.0,21176.291,6942.199,22765.352,164.17000000000002,0.0,1650.192,1739.076,13.22,0.0,2433.522,0.0,13.843,AS14.03
19,7.4,0.35555555555555557,1.0333333333333334,0.10489708151583876,28497.166998386383,9.0,4.0,21971.741,7545.8060000000005,23469.474000000002,75.973,0.0,2169.267,6002.3009999999995,13.22,0.0,2350.758,0.0,13.843,AS14.03
20,7.0,0.2888888888888889,0.9666666666666667,0.10307464430791254,28251.72199869155,7.0,4.0,22906.289,10433.659,23314.506,77.074,0.0,682.476,5989.396,54.585,0.0,2350.8559999999998,0.0,31.146,AS14.03
21,7.6,0.22222222222222224,0.9333333333333332,0.10764677184394074,30442.784997224804,13.0,4.0,23608.946000000004,11915.096000000001,24180.188,45.339,0.0,672.2309999999999,6015.211,54.585,0.0,2312.6839999999997,0.0,31.146,AS14.03
22,8.0,0.2888888888888889,0.9333333333333332,0.10876373352723283,28759.090996026993,15.0,2.0,23749.496,11590.418,24884.924,63.452,0.0,700.1999999999999,6095.498999999999,41.365,0.0,110.975,0.0,38.808,AS14.03
23,7.25,0.2972222222222222,0.8916666666666666,0.11220892737399964,28781.67599701881,19.0,4.0,25463.697,11939.806,22916.22,218.879,0.0,691.04,5908.503,41.365,0.0,183.919,0.0,65.626,AS14.03
24,7.5,0.2416666666666667,0.8916666666666666,0.10334871747868707,32542.594998121254,19.0,4.0,7738.216,12916.271,15166.091,218.879,0.0,874.884,4883.308,41.365,0.0,181.09,0.0,64.25,AS14.03
25,7.8,0.30833333333333335,0.8583333333333334,0.12503075663255378,26231.959999561303,22.0,4.0,6464.379,11680.408,12014.862,218.879,0.0,231.128,601.495,41.365,69.034,181.09,0.0,64.25,AS14.03
26,7.5,0.35000000000000003,0.8916666666666666,0.1340234852169104,25490.63999867439,25.0,5.0,5145.973,9103.177,12390.680999999999,190.689,0.0,223.055,592.598,0.0,95.65100000000001,395.02400000000006,0.0,46.946999999999996,AS14.03
27,7.4,0.35000000000000003,0.9249999999999999,0.11757195296847378,27545.793000936508,22.0,5.0,5142.533,7100.011,14557.163,213.88299999999998,0.0,217.03,2173.66,0.0,262.87,382.94200000000006,0.0,52.408,AS14.03
28,7.6,0.2833333333333333,0.8916666666666666,0.11391986050945312,25704.617001056675,20.0,5.0,5024.388,7452.212,13418.484,195.76999999999998,0.0,223.392,2071.771,0.0,262.87,367.82200000000006,0.0,44.746,AS14.03
29,7.0,0.3416666666666666,0.9,0.11050827267354406,24970.539000511173,16.0,4.0,3353.402,6883.488,14652.440999999999,182.31699999999998,0.0,223.392,1963.202,0.0,262.87,290.69100000000003,0.0,13.415,AS14.03
30,7.4,0.30833333333333335,0.9,0.11586244089632057,23610.406000375755,10.0,4.0,1717.499,8492.516,12095.951000000001,234.671,0.0,39.548,2074.934,0.0,262.87,289.86300000000006,0.0,5.461,AS14.03
31,7.5,0.041666666666666664,0.9333333333333332,0.09885208108483422,33032.20799994469,6.0,3.0,1641.999,15269.303,15362.197,277.974,0.0,218.046,2079.0640000000003,0.0,193.83599999999998,344.36400000000003,0.0,15.635,AS14.03
32,7.5,-0.041666666666666664,0.9333333333333332,0.11923368326990715,33032.13499999046,7.0,6.0,1595.618,14861.759000000002,16570.741,277.974,0.0,218.046,2119.9990000000003,19.455,167.219,119.204,0.0,15.635,AS14.03
33,7.6,-0.3083333333333333,0.9333333333333332,0.1266847277245951,32303.13399863243,4.0,6.0,881.498,15495.846000000001,19936.238,254.77999999999997,0.0,218.046,2872.986,19.455,540.932,175.554,0.0,10.174,AS14.03
34,7.0,-0.6083333333333333,0.9666666666666667,0.12498020703798014,32174.962998390198,5.0,6.0,873.613,16541.534,21091.375,282.897,0.0,178.498,2847.215,27.331,540.932,168.938,0.0,23.412,AS14.03
35,7.2,-0.8083333333333332,1.0,0.12469789518597896,31572.44999742508,5.0,5.0,749.018,16854.585,19704.956000000002,603.268,0.0,185.004,2855.3370000000004,27.331,540.932,157.839,0.0,23.412,AS14.03
36,7.0,-0.975,1.0,0.121979753284806,30776.818996191025,5.0,5.0,824.431,15903.139000000001,19963.543,550.914,0.0,185.004,2781.53,27.331,540.932,181.9,0.0,39.682,AS14.03
37,7.2,-0.9416666666666665,1.0,0.12701662268008526,23658.05899643898,6.0,5.0,2606.684,9054.289,19657.243000000002,507.61100000000005,0.0,67.672,2804.033,27.331,653.172,127.399,0.0,41.706,AS14.03
38,7.6,-1.0999999999999999,1.0666666666666667,0.10455573474014912,26800.178997278214,12.0,1.0,2438.108,9570.173,21019.208,550.835,0.0,67.672,3427.965,7.876,702.845,127.399,0.0,70.608,AS14.03
39,7.75,-0.9499999999999998,1.1083333333333334,0.11678354468638276,28941.541998386383,17.0,1.0,2979.647,9618.058,16967.478,550.835,0.0,67.672,1047.822,7.876,234.422,86.195,0.0,81.95,AS14.03
40,7.4,-0.9166666666666666,1.075,0.11403919740425135,28624.51099872589,20.0,1.0,2942.072,6958.014,16162.795,522.7180000000001,0.0,67.672,1037.8619999999999,0.0,234.422,111.119,0.0,68.712,AS14.03
41,7.25,-0.9833333333333334,1.075,0.11112022354266617,28208.10599970818,22.0,2.0,3045.937,6111.839,16791.147,56.467,0.0,61.166,1220.462,0.0,364.904,238.651,0.0,74.867,AS14.03
42,7.37980655939481,-0.9225604209692198,1.080119827055274,0.11057725702934722,25896.330999612816,24.0,2.0,3423.307,5228.594,15236.262,56.467,0.0,76.068,1135.2549999999999,0.0,364.904,209.21200000000002,0.0,58.597,AS14.03
43,7.666666666666667,-0.9003381987469976,1.080119827055274,0.10358751067035517,25662.891000032432,23.0,2.0,2318.611,5472.6990000000005,13394.609,56.467,0.0,28.807,1315.077,0.0,252.66400000000002,246.598,0.0,46.399,AS14.03
44,7.441082371211715,-0.833559469460603,1.0174793478919841,0.0811913568878939,19031.716999769218,13.0,1.0,2043.896,4370.373,9295.612000000001,13.243,0.0,28.807,601.099,0.0,202.991,246.598,0.0,17.497,AS14.03
1,7.8,-0.10833333333333334,0.6916666666666668,0.12201390367832705,37133.48200368881,6.0,1.0,971.3119999999999,17781.425,11260.113,0.0,0.0,354.893,917.566,10066.846,644.191,0.0,0.0,0.0,AS14.06
